Unnamed: 0,State,Population,Median Age
0,Alabama,4876250.0,39.0
1,Alaska,737068.0,34.3
2,Arizona,7050299.0,37.7
3,Arkansas,2999370.0,38.1
4,California,39283497.0,36.5
5,Colorado,5610349.0,36.7
6,Delaware,957248.0,40.6
7,District of Columbia,692683.0,34.0
8,Connecticut,3575074.0,41.0
9,Florida,20901636.0,42.0
10,Georgia,10403847.0,36.7
11,Idaho,1717750.0,36.4
12,Hawaii,1422094.0,39.1
13,Illinois,12770631.0,38.1
14,Indiana,6665703.0,37.7
15,Iowa,3139508.0,38.2
16,Kansas,2910652.0,36.7
17,Kentucky,4449052.0,38.9
18,Louisiana,4664362.0,36.9
19,Maine,1335492.0,44.7
20,Maryland,6018848.0,38.7
21,Massachusetts,6850553.0,39.5
22,Michigan,9965265.0,39.7
23,Minnesota,5563378.0,38.0
24,Mississippi,2984418.0,37.5
25,Missouri,6104910.0,38.6
26,Montana,1050649.0,39.9
27,Nebraska,1914571.0,36.5
28,Nevada,2972382.0,38.0
29,New Hampshire,1348124.0,42.9
30,New Jersey,8878503.0,39.9
31,New Mexico,2092454.0,37.8
32,New York,19572319.0,38.8
33,North Carolina,10264876.0,38.7
34,North Dakota,756717.0,35.1
35,Ohio,11655397.0,39.4
36,Oklahoma,3932870.0,36.6
37,Oregon,4129803.0,39.3
38,Pennsylvania,12791530.0,40.8
39,Rhode Island,1057231.0,39.9
40,South Carolina,5020806.0,39.4
41,South Dakota,870638.0,37.0
42,Tennessee,6709356.0,38.7
43,Texas,28260856.0,34.6
44,Vermont,624313.0,42.9
45,Utah,3096848.0,30.8
46,Virginia,8454463.0,38.2
47,Washington,7404107.0,37.7
48,West Virginia,1817305.0,42.5
49,Wisconsin,5790716.0,39.5
50,Wyoming,581024.0,37.7
51,Puerto Rico,3318447.0,41.7
